ID-Number,Group,Gender,Age,Nationality,Highest degree of education,Been Berlin,Been Hamburg,Been Jerusalem,Been TelAviv,been Israel,Date,1-1-Sel,1-1-Conf,1-2-Trust,1-2-Dec-R,1-2-Sel,1-2-Conf,2-1-Sel,2-1-Conf,2-2-Trust,2-2-Dec-R,2-2-Sel,2-2-Conf,3-1-Sel,3-1-Conf,3-2-Trust,3-2-Dec-R,3-2-Sel,3-2-Conf,4-1-Sel,4-1-Conf,4-2-Trust,4-2-Dec-R,4-2-Sel,4-2-Conf,5-1-Sel,5-1-Conf,5-2-Trust,5-2-Dec-R,5-2-Sel,5-2-Conf,6-1-Sel,6-1-Conf,6-2-Trust,6-2-Dec-R,6-2-Sel,6-2-Conf,7-1-Sel,7-1-Conf,7-2-Trust,7-2-Dec-R,7-2-Sel,7-2-Conf,8-1-Sel,8-1-Conf,8-2-Trust,8-2-Dec-R,8-2-Sel,8-2-Conf,9-1-Sel,9-1-Conf,9-2-Trust,9-2-Dec-R,9-2-Sel,9-2-Conf,10-1-Sel,10-1-Conf,10-2-Trust,10-2-Dec-R,10-2-Sel,10-2-Conf,11-1-Sel,11-1-Conf,11-2-Trust,11-2-Dec-R,11-2-Sel,11-2-Conf,12-1-Sel,12-1-Conf,12-2-Trust,12-2-Dec-R,12-2-Sel,12-2-Conf,13-1-Sel,Time
1,XAI,Male,25,German,Undergraduate Studies,Yes,Yes,No,No,No,2023-03-11,Jerusalem,4,4,Yes,Jerusalem,4,Hamburg,1,3,Yes,Hamburg,2,Tel Aviv,3,3,No,Tel Aviv,4,Hamburg,3,4,Yes,Hamburg,4,Hamburg,3,4,Yes,Hamburg,4,Jerusalem,2,3,No,Jerusalem,2,Tel Aviv,2,4,Yes,Tel Aviv,3,Berlin,4,4,Yes,Berlin,4,Tel Aviv,4,3,No,Jerusalem,3,Hamburg,4,4,Yes,Hamburg,5,Jerusalem,2,3,Yes,Berlin,2,Jerusalem,3,3,Yes,Jerusalem,4,Hamburg,15
2,XAI,Female,21,German,Middle School,Yes,No,No,No,No,2023-03-11,Hamburg,1,3,Yes,Hamburg,1,Berlin,4,4,No,Berlin,5,Tel Aviv,3,3,No,Tel Aviv,4,Berlin,2,2,Yes,Hamburg,3,Hamburg,2,4,Yes,Hamburg,5,Jerusalem,2,2,No,Jerusalem,2,Jerusalem,2,2,No,Tel Aviv,3,Berlin,2,3,Yes,Berlin,3,Jerusalem,4,4,No,Jerusalem,5,Hamburg,3,3,Yes,Hamburg,4,Berlin,4,5,Yes,Berlin,4,Jerusalem,5,5,Yes,Jerusalem,5,Hamburg,15
3,XAI,Male,28,German,Graduate Studies,Yes,Yes,No,No,No,2023-03-11,Jerusalem,2,4,Yes,Jerusalem,3,Berlin,2,2,Yes,Berlin,3,Tel Aviv,3,4,No,Tel Aviv,3,Hamburg,1,2,No,Hamburg,2,Hamburg,2,4,Yes,Hamburg,3,Tel Aviv,1,3,Yes,Tel Aviv,3,Jerusalem,2,2,Yes,Tel Aviv,1,Berlin,1,3,Yes,Berlin,3,Tel Aviv,1,2,Yes,Jerusalem,1,Hamburg,2,3,Yes,Hamburg,3,Berlin,1,4,Yes,Berlin,4,Tel Aviv,1,2,No,Jerusalem,1,Hamburg,15
4,AI,Male,24,German,Undergraduate Studies,Yes,No,No,No,No,2023-03-11,Tel Aviv,2,4,,Jerusalem,2,Hamburg,3,4,,Berlin,4,Jerusalem,3,4,,Tel Aviv,3,Hamburg,3,4,,Hamburg,4,Berlin,4,2,,Hamburg,3,Jerusalem,2,4,,Tel Aviv,4,Berlin,1,3,,Tel Aviv,3,Berlin,4,4,,Berlin,4,Tel Aviv,2,4,,Jerusalem,4,Berlin,4,4,,Hamburg,4,Berlin,2,3,,Berlin,4,Jerusalem,3,4,,Jerusalem,4,Hamburg,13
5,XAI,Female,23,German,Graduate Studies,No,No,No,No,No,2023-03-12,Tel Aviv,4,4,No,Jerusalem,4,Hamburg,4,4,Yes,Berlin,3,Tel Aviv,4,5,Yes,Tel Aviv,5,Berlin,4,3,Yes,Hamburg,3,Berlin,3,4,Yes,Hamburg,3,Jerusalem,4,4,No,Tel Aviv,4,Jerusalem,4,3,No,Tel Aviv,3,Berlin,4,5,Yes,Berlin,5,Tel Aviv,5,3,No,Tel Aviv,4,Hamburg,4,5,Yes,Hamburg,5,Berlin,1,3,Yes,Berlin,4,Tel Aviv,4,3,No,Tel Aviv,3,Hamburg,13
6,AI,Female,25,Swiss,Undergraduate Studies,Yes,Yes,No,No,No,2023-03-12,Tel Aviv,1,3,,Jerusalem,3,Hamburg,3,2,,Hamburg,3,Tel Aviv,1,4,,Tel Aviv,3,Berlin,2,3,,Berlin,2,Berlin,2,4,,Hamburg,4,Jerusalem,2,4,,Tel Aviv,4,Berlin,2,1,,Berlin,1,Hamburg,2,3,,Berlin,4,Jerusalem,1,4,,Jerusalem,4,Berlin,1,3,,Berlin,1,Hamburg,1,4,,Berlin,4,Tel Aviv,1,3,,Jerusalem,2,Hamburg,14
7,XAI,Female,24,German,Undergraduate Studies,No,No,No,No,No,2023-03-12,Tel Aviv,3,4,No,Tel Aviv,3,Hamburg,4,3,No,Hamburg,3,Jerusalem,4,3,No,Jerusalem,3,Berlin,3,3,No,Berlin,3,Berlin,2,3,Yes,Hamburg,3,Jerusalem,3,3,No,Jerusalem,3,Tel Aviv,2,3,No,Tel Aviv,3,Berlin,3,4,Yes,Berlin,4,Jerusalem,3,4,No,Jerusalem,4,Hamburg,3,4,Yes,Hamburg,4,Berlin,2,4,No,Berlin,4,Tel Aviv,3,3,Yes,Tel Aviv,3,Hamburg,19
8,AI,Male,27,German,Graduate Studies,Yes,No,No,No,No,2023-03-13,Tel Aviv,3,4,,Tel Aviv,3,Hamburg,4,4,,Hamburg,4,Tel Aviv,2,4,,Tel Aviv,4,Hamburg,4,4,,Hamburg,4,Berlin,4,4,,Berlin,3,Jerusalem,2,4,,Jerusalem,2,Jerusalem,2,3,,Jerusalem,1,Berlin,4,5,,Berlin,4,Tel Aviv,2,4,,Tel Aviv,2,Hamburg,3,4,,Hamburg,4,Berlin,2,4,,Berlin,4,Tel Aviv,2,4,,Jerusalem,2,Hamburg,11
9,XAI,Female,24,German,Undergraduate Studies,Yes,No,No,No,No,2023-03-13,Tel Aviv,1,4,Yes,Jerusalem,4,Hamburg,2,3,No,Hamburg,1,Tel Aviv,2,3,Yes,Tel Aviv,4,Hamburg,3,3,Yes,Hamburg,4,Berlin,2,3,Yes,Hamburg,3,Tel Aviv,2,3,Yes,Tel Aviv,4,Tel Aviv,1,3,No,Tel Aviv,4,Berlin,2,3,Yes,Berlin,4,Jerusalem,2,3,Yes,Jerusalem,4,Hamburg,1,3,No,Hamburg,4,Hamburg,1,3,Yes,Berlin,5,Tel Aviv,1,4,Yes,Jerusalem,4,Hamburg,13
10,AI,Female,24,German,Graduate Studies,Yes,Yes,No,No,No,2023-03-13,Jerusalem,3,2,,Jerusalem,3,Berlin,3,3,,Berlin,3,Tel Aviv,3,3,,Tel Aviv,3,Berlin,3,2,,Berlin,3,Berlin,3,2,,Berlin,3,Tel Aviv,3,5,,Tel Aviv,4,Jerusalem,3,3,,Jerusalem,3,Berlin,3,5,,Berlin,4,Jerusalem,3,4,,Jerusalem,4,Hamburg,3,3,,Hamburg,3,Tel Aviv,3,3,,Berlin,3,Tel Aviv,3,3,,Jerusalem,3,Hamburg,14
